segment start,segement end,average riding comfort,acoustic comfort,thermal comfort,air quality/ventilation,acceleration & braking,vibration,jerks/shaking,crowdedness,participant id,line
Brixton,Stockwell,3,2,3,3,3,3,3,1,15,Victoria
Stockwell,Vauxhall,2,1,3,3,3,4,3,2,15,Victoria
Vauxhall,Pimlico,3,3,2,3,3,3,4,2,15,Victoria
Pimlico,Victoria,2,1,2,3,4,3,2,2,15,Victoria
Victoria,Green Park,2,2,2,3,3,3,3,2,15,Victoria
Green Park,Oxford Circus,2,2,2,2,3,3,3,3,15,Victoria
Oxford Circus,Warren Street,2,1,2,3,4,3,3,2,15,Victoria
Warren Street,Euston,3,3,2,4,3,3,3,2,15,Victoria
Euston,King's Cross St. Pancras,2,1,3,4,3,3,3,2,15,Victoria
King's Cross St. Pancras,Highbury & Islington,2,2,3,3,3,3,3,2,15,Victoria
Highbury & Islington,Finsbury Park,2,2,2,3,3,2,2,1,15,Victoria
